年月別,客運人次/總計[人次],客運人次/中運量[人次],客運人次/高運量[人次],平均每日客運人次[人次],營運收入/總計[千元],客運收入/中運量[千元],客運收入/高運量[千元],悠遊卡累計發卡量[張]
91年2月,23473254,2230191,21243063,838331,576358,51944,524414,-
91年3月,27118827,2836224,24282603,874801,607805,58302,549503,-
91年4月,25768631,2750378,23018253,858954,581725,57240,524485,-
91年5月,27019953,2813160,24206793,871611,598038,57488,540550,-
91年6月,25533309,2552118,22981191,851110,578014,58688,519327,-
91年7月,27890392,2723379,25167013,899690,624439,57073,567366,-
91年8月,28352991,2683925,25669066,914613,640286,56429,583857,-
91年9月,25747115,2544518,23202597,858237,567765,50468,517297,-
91年10月,28684322,2906752,25777570,925301,625673,59045,566628,-
91年11月,28724883,2848126,25876757,957496,617025,56460,560565,-
91年12月,30516478,2950811,27565667,984403,646588,56586,590002,1004254
92年1月,28014216,2713655,25300561,903684,625032,56161,568872,-
92年2月,26241269,2430288,23810981,937188,598651,51839,546812,-
92年3月,29040656,2875691,26164965,936795,636769,56792,579978,-
92年4月,25791169,2638588,23152581,859706,572285,53654,518630,-
92年5月,18647030,1955018,16692012,601517,405126,38127,366999,-
92年6月,20713548,2040542,18673006,690452,453731,40417,413315,-
92年7月,26104763,2438488,23666275,842089,571383,48611,522772,-
92年8月,26946918,2434573,24512345,869255,605729,49551,556178,-
92年9月,26920391,2533119,24387272,897346,584196,49980,534216,-
92年10月,29090570,2734448,26356122,938405,643659,55017,588642,-
92年11月,28189502,2617447,25572055,939650,588187,48897,539290,-
92年12月,30489096,2799802,27689294,983519,693440,51801,641639,3282781
93年1月,26615701,2305839,24309862,858571,584627,46614,538014,-
93年2月,28581061,2581008,26000053,985554,626352,51513,574839,-
93年3月,30223485,2844725,27378760,974951,650144,55432,594712,-
93年4月,28547591,2744732,25802859,951586,619744,54638,565106,-
93年5月,29122328,2684095,26438233,939430,635243,53336,581907,-
93年6月,27682149,2528199,25153950,922738,601338,49932,551406,-
93年7月,30233548,2676055,27557493,975276,660841,54844,605997,-
93年8月,28219215,2455274,25763941,910297,611296,47739,563557,-
93年9月,28609682,2582343,26027339,953656,618333,50985,567348,-
93年10月,30245644,2688858,27556786,975666,660269,53585,606684,-
93年11月,30124807,2787048,27337759,1004160,654144,55242,598903,-
93年12月,31936745,2857639,29079106,1030218,693406,56936,636470,4895563
94年1月,29811881,2666065,27145816,961674,637558,-,-,-
94年2月,25879279,2177173,23702106,924260,568197,-,-,-
94年3月,31866866,2950137,28916729,1027963,686470,-,-,-
94年4月,29576241,2674511,26901730,985875,638890,-,-,-
94年5月,30251626,2735305,27516321,975859,652121,-,-,-
94年6月,29029861,2575815,26454046,967662,624995,-,-,-
94年7月,30011759,2501165,27510594,968121,650465,-,-,-
94年8月,30343866,2568917,27774949,978834,661654,-,-,-
94年9月,29408909,2545615,26863294,980297,637217,-,-,-
94年10月,30689307,2585674,28103633,989978,662046,-,-,-
94年11月,30604448,2662879,27941569,1020148,664114,-,-,-
94年12月,33255760,2826121,30429639,1072766,705330,-,-,6488599
95年1月,29452611,2488884,26963727,950084,637342,-,-,6603998
95年2月,28772163,2343983,26428180,1027577,624456,-,-,6735143
95年3月,31936004,2828156,29107848,1030194,685128,-,-,6873235
95年4月,29566184,2551739,27014445,985539,637531,-,-,6999305
95年5月,30871353,2650954,28220399,995850,663662,-,-,7126638
95年6月,31493316,2605636,28887680,1049777,688769,-,-,7268718
95年7月,32933003,2586919,30346084,1062355,722872,-,-,7448130
95年8月,33606001,2686805,30919196,1084065,737967,-,-,7738359
95年9月,33070809,2644726,30426083,1102360,719815,-,-,7956324
95年10月,33232773,2617523,30615250,1072025,732501,-,-,8135221
95年11月,33331291,2724421,30606870,1111043,732116,-,-,8315706
95年12月,35682052,2834617,32847435,1151034,786575,-,-,8543240
96年1月,34293670,2840242,31453428,1106247,751063,-,-,8754096
96年2月,29436141,2254117,27182024,1051291,659497,-,-,8909927
96年3月,36155960,2991733,33164227,1166321,783941,-,-,9127529
96年4月,33430442,2728166,30702276,1114348,733586,-,-,9301361
96年5月,34924960,2842262,32082698,1126612,763347,-,-,9467454
96年6月,32984025,2633431,30350594,1099468,718462,-,-,9683364
96年7月,35816762,2873999,32942763,1155379,784175,-,-,9859007
96年8月,34828039,2811220,32016819,1123485,759816,-,-,10063737
96年9月,33010544,2676995,30333549,1100351,726986,-,-,10314127
96年10月,35679396,2899163,32780233,1150948,780404,-,-,10582522
96年11月,36441830,3055542,33386288,1214728,797411,-,-,10965815
96年12月,39227916,3215379,36012537,1265417,865942,-,-,11587294
97年1月,36825587,3033476,33792111,1187922,802692,61562,741129,11929290
97年2月,33223866,2615604,30608262,1145651,730614,53118,677496,12170963
97年3月,38432595,3221238,35211357,1239761,841217,66585,774632,12610607
97年4月,36472089,3072756,33399333,1215736,799159,62742,736418,12822523
97年5月,38096236,3109694,34986542,1228911,832744,63381,769363,13148978
97年6月,36551844,2942602,33609242,1218395,757701,56768,700933,13526154
97年7月,38641308,3029512,35611796,1246494,801291,59336,741955,13820517
97年8月,39806858,3135495,36671363,1284092,837478,62436,775042,14088185
97年9月,34944963,2775088,32169875,1164832,757753,55782,701972,14355148
97年10月,39569451,3034478,36534973,1276434,865029,61172,803857,14588436
97年11月,37509706,2896141,34613565,1250324,817976,57560,760416,14806746
97年12月,39949912,2486577,37463335,1288707,869983,49511,820472,15091767
98年1月,34771207,2099127,32672080,1121652,767286,43119,724168,15336132
98年2月,36236921,2723259,33513662,1294176,788166,55611,732555,15752856
98年3月,38808194,3045054,35763140,1251877,845255,61076,784179,15893415
98年4月,37410418,2815162,34595256,1247014,814051,56330,757721,16047655
98年5月,37753738,2813465,34940273,1217863,826799,57163,769636,16257122
98年6月,36551854,2708356,33843498,1218395,792619,53827,738792,16512859
98年7月,41123297,4617425,36505872,1326558,861923,91263,770660,16736664
98年8月,37895799,3558721,34337078,1222445,796869,61099,735770,16958433
98年9月,38229962,4207796,34022166,1274332,800230,71249,728981,17203667
98年10月,40426260,4545537,35880723,1304073,848866,77864,771002,17436365
98年11月,39548647,4569352,34979295,1318288,827818,77921,749897,17609981
98年12月,43716054,5019659,38696395,1410195,916843,89593,827250,17863800
99年1月,40916463,4717752,36198711,1319886,874983,85943,789039,18029670
99年2月,34838161,3835114,31003047,1244220,743911,67610,676301,18190264
99年3月,42790249,5070197,37720052,1380331,914384,91549,822835,18403960
99年4月,40251854,4819949,35431905,1341728,857919,87257,770662,18622251
99年5月,41473930,4897190,36576740,1337869,882413,83600,798813,19503346
99年6月,39479910,4757641,34722269,1315997,839391,90722,748669,19742519
99年7月,42491066,4962187,37528879,1370680,902619,90516,812104,20585476
99年8月,42042218,4894715,37147503,1356201,895418,88962,806456,21427635
99年9月,39760508,4791099,34969409,1325350,846177,86657,759520,21782155
99年10月,43727622,5188036,38539586,1410568,928609,93100,835509,22000696
99年11月,47277592,5418623,41858969,1575920,955556,96896,858660,22538883
99年12月,50416877,5798323,44618554,1626351,1069764,105412,964352,23252130
100年1月,46769306,5415603,41353703,1508687,988277,97577,890700,23618671
100年2月,42217591,4711900,37505691,1507771,903346,87304,816042,23997921
100年3月,48818361,5963986,42854375,1574786,1042361,111461,930900,24501406
100年4月,47205199,5626140,41579059,1573507,1005773,105327,900446,25008209
100年5月,46653336,5730330,40923006,1504946,992751,106156,886595,25244257
100年6月,44438781,5537456,38901325,1481293,944566,103604,840962,25848448
100年7月,48204332,5786675,42417657,1554978,1022866,109109,913757,26480213
100年8月,47806171,5713979,42092192,1542135,1014037,107118,906919,26953215
100年9月,46440213,5660694,40779519,1548007,1002824,115183,887640,27576495
100年10月,48612662,5811027,42801635,1568150,1061262,128663,932599,28029742
100年11月,47637209,5868071,41769138,1587907,1044031,129257,914774,28392216
100年12月,51601325,6202111,45399214,1664559,1126673,136510,990163,29013392
101年1月,46910524,5222550,41687974,1513243,1006923,116172,890752,29674401
101年2月,48222267,5553279,42668988,1662837,1049426,122858,926568,29961597
101年3月,51761349,6245261,45516088,1669721,1143166,138905,1004260,30437848
101年4月,48278769,5764356,42514413,1609292,1060455,127699,932755,30740050
101年5月,50131129,5929124,44202005,1617133,1102741,131776,970966,31503875
101年6月,47661008,5728437,41932571,1588700,1044312,127187,917125,32231312
101年7月,50456552,5798812,44657740,1627631,1102931,128859,974071,32778959
101年8月,49651320,5651534,43999786,1601655,1085675,125655,960020,33401860
101年9月,48795624,5660696,43134928,1626521,1069707,125586,944121,34036653
101年10月,53218414,6119291,47099123,1716723,1149392,135676,1013716,34741872
101年11月,51654227,6034381,45619846,1721808,1132767,133952,998816,35355079
101年12月,55458159,6152965,49305194,1788973,1220915,136765,1084150,35940603
102年1月,52749452,5953206,46796246,1701595,1150436,131845,1018591,36746245
102年2月,45786691,4900165,40886526,1635239,1008231,110280,897951,37209373
102年3月,54349272,6259649,48089623,1753202,1196214,139696,1056518,37686141
102年4月,50269978,5752367,44517611,1675666,1101027,127844,973183,38324157
102年5月,53058455,6089105,46969350,1711563,1159907,135078,1024829,38895684
102年6月,50466513,5788899,44677614,1682217,1119545,144535,975010,39324894
102年7月,52949777,5939023,47010754,1708057,1156020,132391,1023629,39769051
102年8月,52984136,5781317,47202819,1709166,1140050,112850,1027200,40300787
102年9月,50471993,5681674,44790319,1682400,1107748,126476,981272,40993491
102年10月,54652173,6221272,48430901,1762973,1202805,138999,1063806,41605736
102年11月,55447598,6302455,49145143,1848253,1200792,139218,1061574,42364410
102年12月,61775045,6736695,55038350,1992743,1308597,149350,1159247,43072866
103年1月,55842595,6177499,49665096,1801374,1221835,138289,1083546,43715185
103年2月,52200340,5726006,46474334,1864298,1143803,125724,1018079,44358263
103年3月,59584296,6631641,52952655,1922074,1303875,148290,1155585,44856808
103年4月,55365751,6232061,49133690,1845525,1214869,139614,1075256,45472193
103年5月,56671844,6274682,50397162,1828124,1236885,139616,1097269,46081829
103年6月,52928720,5984765,46943955,1764291,1155420,133279,1022140,46692023
103年7月,55610445,6138987,49471458,1793885,1212955,137178,1075778,47188039
103年8月,56508518,6087751,50420767,1822855,1232941,135747,1097194,47968602
103年9月,53588179,5944874,47643305,1786273,1175613,133031,1042581,48590176
103年10月,57923300,6467174,51456126,1868494,1275028,144979,1130049,49151743
103年11月,58232217,6296359,51935858,1941074,1219181,137339,1081842,49491607
103年12月,65050196,6818542,58231654,2098393,1368989,149063,1219926,49883983
104年1月,59691839,6227340,53464499,1925543,1307066,138266,1168800,50267827
104年2月,52532633,5269863,47262770,1876165,1146265,117758,1028507,50745310
104年3月,62848327,6727679,56120648,2027365,1381154,151369,1229785,51273518
104年4月,58332655,6199146,52133509,1944422,1272535,137719,1134816,51877461
